Name APP,Link Play-Store,Link F-Droid
Tinfoil,https://play.google.com/store/apps/details?id=com.danvelazco.fbwrapper&hl=en,https://f-droid.org/packages/com.danvelazco.fbwrapper/
Amaze File Manager,https://play.google.com/store/apps/details?id=com.amaze.filemanager&hl=en,https://f-droid.org/packages/com.amaze.filemanager/
Sanity,https://play.google.com/store/apps/details?id=cri.sanity&hl=en,https://f-droid.org/packages/cri.sanity/
Anymemo,https://play.google.com/store/apps/details?id=org.liberty.android.fantastischmemo&hl=en,https://f-droid.org/packages/org.liberty.android.fantastischmemo/
Wikipedia,https://play.google.com/store/apps/details?id=org.wikipedia&hl=en,https://f-droid.org/packages/org.wikipedia/
Mileage,https://play.google.com/store/apps/details?id=com.evancharlton.mileage&hl=en,https://f-droid.org/packages/com.evancharlton.mileage/
Ringdroid,https://play.google.com/store/apps/details?id=com.ringdroid&hl=en,https://f-droid.org/packages/com.ringdroid/
Blokish,https://play.google.com/store/apps/details?id=org.scoutant.blokish&hl=en,https://f-droid.org/packages/org.scoutant.blokish/
K-9Mail,https://play.google.com/store/apps/details?id=com.fsck.k9&hl=en,https://f-droid.org/packages/com.fsck.k9/
KeePassDroid,https://play.google.com/store/apps/details?id=com.android.keepass&hl=en,https://f-droid.org/packages/com.android.keepass/
aLogCat,https://play.google.com/store/apps/details?id=org.jtb.alogcat&hl=en,https://f-droid.org/packages/org.jtb.alogcat/
Book-Catalogue,https://play.google.com/store/apps/details?id=com.eleybourn.bookcatalogue&hl=en,https://f-droid.org/packages/com.eleybourn.bookcatalogue/
AFWall+,https://play.google.com/store/apps/details?id=dev.ukanth.ufirewall&hl=en,https://f-droid.org/packages/dev.ukanth.ufirewall/
Bankdroid,https://play.google.com/store/apps/details?id=com.liato.bankdroid&hl=en,https://f-droid.org/packages/com.liato.bankdroid/
Duck Duck,https://play.google.com/store/apps/details?id=com.duckduckgo.mobile.android&hl=en,https://f-droid.org/packages/se.johanhil.duckduckgo/
